Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025-10-06 18:17:00,0.79523,0.79527,0.79522,0.79526,12,10,0
2025-10-06 18:18:00,0.79525,0.79532,0.79525,0.79531,20,10,0
2025-10-06 18:19:00,0.7953,0.79532,0.79526,0.79526,9,10,0
2025-10-06 18:20:00,0.79526,0.79526,0.7952,0.79523,12,10,0
2025-10-06 18:21:00,0.79525,0.79527,0.79523,0.79524,7,10,0
2025-10-06 18:22:00,0.79526,0.79529,0.79525,0.79529,7,10,0
2025-10-06 18:23:00,0.7953,0.7953,0.79529,0.7953,3,10,0
2025-10-06 18:24:00,0.7953,0.7953,0.79526,0.79527,11,10,0
2025-10-06 18:25:00,0.79527,0.79532,0.79524,0.79524,14,10,0
2025-10-06 18:26:00,0.79524,0.79525,0.79515,0.79516,11,10,0
2025-10-06 18:27:00,0.79517,0.79517,0.79513,0.79514,6,10,0
2025-10-06 18:28:00,0.79514,0.79514,0.79504,0.79508,26,10,0
2025-10-06 18:29:00,0.79507,0.79515,0.79507,0.79513,16,10,0
2025-10-06 18:30:00,0.79514,0.79514,0.7951,0.79512,7,10,0
2025-10-06 18:31:00,0.79511,0.79514,0.7951,0.79514,12,10,0
2025-10-06 18:32:00,0.79516,0.79517,0.79512,0.79513,8,7,0
2025-10-06 18:33:00,0.79513,0.79519,0.79513,0.79519,7,7,0
2025-10-06 18:34:00,0.79517,0.79523,0.79517,0.79519,10,10,0
2025-10-06 18:35:00,0.79519,0.79523,0.79519,0.79522,10,10,0
2025-10-06 18:36:00,0.79515,0.79525,0.79515,0.79524,5,5,0
2025-10-06 18:37:00,0.79523,0.79532,0.7952,0.79532,13,10,0
2025-10-06 18:38:00,0.79532,0.79533,0.79532,0.79533,4,10,0
2025-10-06 18:39:00,0.79536,0.7954,0.79536,0.79538,10,10,0
2025-10-06 18:40:00,0.79538,0.7954,0.79536,0.79539,12,10,0
2025-10-06 18:41:00,0.79538,0.7954,0.79538,0.7954,7,10,0
2025-10-06 18:42:00,0.79539,0.79539,0.79532,0.79536,14,10,0
2025-10-06 18:43:00,0.79536,0.79536,0.7953,0.79533,16,10,0
2025-10-06 18:44:00,0.79532,0.79532,0.79523,0.79524,14,10,0
2025-10-06 18:45:00,0.79524,0.79527,0.79524,0.79527,14,10,0
2025-10-06 18:46:00,0.79527,0.79527,0.7952,0.7952,14,10,0
2025-10-06 18:47:00,0.7952,0.79527,0.7952,0.79526,15,10,0
2025-10-06 18:48:00,0.79527,0.79527,0.79521,0.79526,14,10,0
2025-10-06 18:49:00,0.79527,0.79533,0.79526,0.79533,7,10,0
2025-10-06 18:50:00,0.79532,0.79544,0.79532,0.79543,19,10,0
2025-10-06 18:51:00,0.79541,0.79544,0.79538,0.7954,18,10,0
2025-10-06 18:52:00,0.79542,0.79549,0.79542,0.79546,19,10,0
2025-10-06 18:53:00,0.79546,0.79546,0.79542,0.79542,15,10,0
2025-10-06 18:54:00,0.79542,0.79544,0.79538,0.79538,15,8,0
2025-10-06 18:55:00,0.7954,0.79543,0.79539,0.7954,18,10,0
2025-10-06 18:56:00,0.7954,0.79542,0.79532,0.79533,19,10,0
2025-10-06 18:57:00,0.79533,0.79539,0.79525,0.79527,19,10,0
2025-10-06 18:58:00,0.79527,0.79532,0.79527,0.7953,16,11,0
2025-10-06 18:59:00,0.79532,0.79532,0.79524,0.79529,30,10,0
2025-10-06 19:00:00,0.79529,0.79529,0.79522,0.79522,26,10,0
2025-10-06 19:01:00,0.7952,0.7953,0.79518,0.7953,28,10,0
2025-10-06 19:02:00,0.7953,0.7953,0.79523,0.79523,15,10,0
2025-10-06 19:03:00,0.79524,0.79526,0.79519,0.79521,9,10,0
2025-10-06 19:04:00,0.79522,0.79524,0.79514,0.79514,17,10,0
